,name,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
17,NEON PLEXUS: OVERRIDE,9000.0,ETH,True,,2022-04-22 09:00:00,,2022-04-22 09:00:00,neonplexus,NEONPLEXUS,https://neonplexus.io
18,SprayManX22,1000.0,ETH,False,,,,,,,
19,Pirates NFT Club,2000.0,ETH,False,,,,,J5YMEqtNyK,PiratesNFTClub,https://piratesnftclub.ambition.so/
20,Bouncing Buddies,10000.0,ETH,False,,,,,mPNgBmApBC,BouncingBuddiez,https://bouncing-buddies.com
21,FANZONE Sports Club,555.0,ETH,True,0.1,2022-04-22 10:00:00,0.1,2022-04-22 10:00:00,discord,fanzone_io,https://www.fanzone.io/fanzone-sports-club/?mtm_campaign=drop&mtm_source=calendar&mtm_medium=raritytolls
22,SolSeats,8185.0,,False,,,,,tufdEhnsec,SolSeats,https://thesolseats.com
23,ETHX AI,2222.0,ETH,True,0.06,2022-04-22 11:00:00,0.06,2022-04-22 11:00:00,ethxai,ethxai,https://ethx.ai/
24,The Delinquents,5555.0,ETH,True,0.03,2022-04-22 00:00:00,0.03,2022-04-22 00:00:00,D2tkkJCj2A,DelinquentNFTs,https://delinquentsnft.com
25,Animfers,999.0,ETH,False,,,,,CT9kMzYUKD,animfers,https://animfers.com/
26,BabyDogeArmy,10000.0,ETH,False,,,,,babydogecoin,BabyDogeCoin,https://babydogenft.com
27,Mutant Turkeys,6666.0,,False,,,,,HjnVyxydv9,TurkeysNfts,https://turkeymegaverse.com
28,Asian Identity,8000.0,ETH,True,0.05,,0.05,,asianidentity,asianidentity,https://asianidentity.io/
29,Coffee Junkies,6000.0,ETH,False,,,,,DtcgkNMC9H,coffeejunkienft,https://coffeejunkieclub.com
30,Figment Country Club,4000.0,ETH,False,,,,,Xq6KWHERs5,livefigment,https://country.figment.live/
31,Metaboards,4000.0,ETH,True,,2022-04-22 00:00:00,,2022-04-22 00:00:00,metaboards,metaboardsnft,https://metaboards.space/
32,Stiffy from Prickheads Art,2022.0,ETH,True,,2022-04-22 00:00:00,,2022-04-22 00:00:00,#discord,PrickheadsArt,https://prickheads.art/
33,SupGators,10000.0,ETH,True,0.04,,0.04,,5kKm35uWHr,supgators,https://www.supgators.com
34,Valorien,3333.0,ETH,True,0.05,2022-04-22 00:00:00,0.05,2022-04-22 00:00:00,Valorien,Valoriennft,https://valoriennft.com/
35,CowLoots,8888.0,,False,,,,,,,
36,Mutant Satoshi Club,10000.0,MATIC,False,,,,,mt8yzgVxrS,mutantsatoshi,https://mutantsatoshi.com/
37,Naughty teddies club,5000.0,ETH,False,,,,,ntc,naughtyteddies,https://naughtyteddiesclub.com
38,Wardrobe Collection Club,2000.0,ETH,True,0.06,2022-04-23 07:00:00,0.06,2022-04-23 07:00:00,SYgdh52e7u,Wardrobe_Club,https://www.wardrobeclub.io/
39,Crypto Gods,1111.0,ETH,True,0.15,2022-04-23 11:00:00,0.15,2022-04-23 11:00:00,6jYDTNMejU,CryptoGods_ETH,https://cryptogodsecosystem.com/
40,LootWorld.io,1000.0,ETH,True,0.03,2022-04-23 11:00:00,0.03,2022-04-23 11:00:00,lootbox,NFTLootBox,https://www.lootworld.io/
41,Solana Succubus,888.0,SOL,True,0.8,,0.8,,solanasuccubus,solanasuccubus,https://solanasuccubus.io
42,Rings of Angels,1111.0,SOL,True,,2022-04-23 11:30:00,,2022-04-23 11:30:00,b4QU2YZy2X,Rings_Angels,http://ringsofangels.com/
43,Solmon,2000.0,,False,,,,,solmon,solmonthegame,https://solmon.game/
44,Gādo NFT,2222.0,SOL,True,0.99,,0.99,,gadonft,gadonft,https://gadonft.com
45,Happi frens,4200.0,ETH,False,,,,,nDSrgvvg,HappiFrensNFT,https://happifrens.netlify.app
46,Legendary Cybons,500.0,MATIC,False,,,,,UPmbY42Uwd,TUniverseNft,https://www.legendary-cybons.com/
47,Parov Stelar x Flowtys - Moonlight Love Affair,10000.0,,True,,2022-04-23 00:00:00,,2022-04-23 00:00:00,MSG2bSjMff,FlowtysNFT,http://moonlightloveaffair.com/
48,Ugly People by Torrealba,10000.0,,True,,2022-04-23 00:00:00,,2022-04-23 00:00:00,uglypeople,UglyPeopleNFT,https://uglypeople.art/
49,NFT Racers,5000.0,ETH,False,,,,,kNxMXhZvyU,NftRacers,https://nftracers.com/
50,Meta Manor,2500.0,ETH,False,,,,,Uk2uAfZ9GZ,metamanor,https://www.metamanor.art
51,Misfits Ape Society,2500.0,ETH,False,,,,,misfitsapesociety,misfitsapenft,https://misfitsapesociety.com
52,Powerful Hands,10000.0,ETH,True,,2022-04-24 09:00:00,,2022-04-24 09:00:00,kVWAtzvFBp,_Powerfulhands_,https://nftsph.com/
53,Indigenous Women Fighters,5500.0,ETH,False,,,,,discord-holders only,INDIGWomenFTRs,https://indigenouswomenfighters.com
54,Mr. Crypto by Racksmafia,10000.0,MATIC,False,,,,,EqZPMr43Bb,racksmafia,https://www.metaverse.racksmafia.com/
55,The Professor,5050.0,ETH,True,,2022-04-24 14:00:00,,2022-04-24 14:00:00,83QxAxbKsF,9waveslabs,https://www.theprofessor.io/
56,PopCultureKid's,800.0,,False,,,,,AUFWREpX,pcknfts,https://popculturekids.io/
57,Akira Figthers,444.0,SOL,False,,,,,yY2QvxjvWc,akira_fighters,http://akirafighters.com/
58,Purple Ape Club,5555.0,MATIC,False,,,,,PTUerRrMDh,purpleapesclub,https://purpleapeclub.xyz/
59,CryptoVibrantArrows,7777.0,ETH,True,0.0,,0.0,,,,
60,Peanut Family Coin,6000.0,ETH,False,,,,,xTqXCDsywz,PEANUTF_NFT,https://peanutf.com/
61,BoredSnakeClub NFTs,3333.0,ETH,False,,,,,NTebntrE95,boredsnake_club,https://www.boredsnakeclub.com/
62,The Potato Club,10000.0,,True,,,,,6xjXz85zjC,AA_ART_NFT,https://aa-art.io/
63,NFTatts,5000.0,SOL,False,,,,,nftatts,nftatts,https://nftatts.io
64,Dragon Futurist,7777.0,SOL,False,,,,,dragonfuturist,Dragon_Futurist,https://dragonfuturist.io
